brc_bb RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  870.0   70  1.4067 -4.968e-03  0.064  0.086    1.60  0.3094  0.710  0.149  0.946  0.517  1.000  1.553  1.372  0.759  0.388  0.178  0.084  0.038
 1000.0   70  1.4060 -6.380e-03  0.064  0.086    1.60  0.2180  0.500  0.149  0.917  0.466  1.000  1.398  1.197  0.595  0.274  0.114  0.050  0.021
 1020.0   70  1.4055 -6.529e-03  0.064  0.086    1.60  0.2067  0.474  0.149  0.913  0.459  1.000  1.375  1.174  0.574  0.260  0.107  0.046  0.019
55555.6   70  1.6920 -3.620e-01  0.064  0.086    1.60  0.0164  0.038  0.149  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   70  1.6956 -3.202e-01  0.064  0.086    1.60  0.0216  0.050  0.149  0.000  0.003  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   70  1.6768 -3.387e-01  0.064  0.086    1.60  0.0310  0.071  0.149  0.000  0.004  1.000  0.013  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   70  1.3326 -3.263e-01  0.064  0.086    1.60  0.0457  0.105  0.149  0.000  0.005  1.000  0.015  0.500  0.003  0.000  0.000  0.000  0.000
13157.9   70  1.3455 -2.119e-01  0.064  0.086    1.60  0.0335  0.077  0.149  0.000  0.007  1.000  0.020  0.500  0.004  0.000  0.000  0.000  0.000
11111.1   70  1.3770 -8.183e-02  0.064  0.086    1.60  0.0150  0.035  0.149  0.002  0.010  1.000  0.028  0.500  0.006  0.000  0.000  0.000  0.000
 9708.7   70  1.5043 -6.652e-02  0.064  0.086    1.60  0.0129  0.030  0.149  0.005  0.013  1.000  0.040  0.501  0.007  0.000  0.000  0.000  0.000
 8849.6   70  1.8581 -1.572e-01  0.064  0.086    1.60  0.0254  0.059  0.149  0.010  0.019  1.000  0.058  0.501  0.009  0.000  0.000  0.000  0.000
 7782.1   70  1.2800 -4.629e-02  0.064  0.086    1.60  0.0132  0.030  0.149  0.005  0.019  1.000  0.055  0.501  0.011  0.000  0.000  0.000  0.000
 6968.6   70  1.3592 -3.979e-02  0.064  0.086    1.60  0.0119  0.027  0.149  0.014  0.023  1.000  0.070  0.502  0.015  0.000  0.000  0.000  0.000
 6097.6   70  1.3578 -7.045e-02  0.064  0.086    1.60  0.0246  0.056  0.149  0.010  0.031  1.000  0.091  0.504  0.018  0.001  0.000  0.000  0.000
