org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
 7782.1   50  1.2400 -6.262e-02  0.058  0.060    1.60  0.0126  0.070  0.104  0.001  0.009  1.000  0.027  0.500  0.006  0.000  0.000  0.000  0.000
 6968.6   50  1.4100 -5.543e-02  0.058  0.060    1.60  0.0111  0.062  0.104  0.005  0.012  1.000  0.037  0.501  0.007  0.000  0.000  0.000  0.000
 6097.6   50  1.4092 -3.213e-02  0.058  0.060    1.60  0.0075  0.042  0.104  0.011  0.016  1.000  0.048  0.501  0.010  0.000  0.000  0.000  0.000
 5154.6   50  1.4340 -1.367e-02  0.058  0.060    1.60  0.0038  0.022  0.104  0.048  0.022  1.000  0.067  0.502  0.013  0.000  0.000  0.000  0.000
 4618.9   50  1.4450 -1.276e-02  0.058  0.060    1.60  0.0041  0.023  0.104  0.070  0.028  1.000  0.083  0.503  0.016  0.001  0.000  0.000  0.000
 4319.7   50  1.4464 -1.010e-02  0.058  0.060    1.60  0.0035  0.020  0.104  0.129  0.032  1.000  0.095  0.504  0.018  0.001  0.000  0.000  0.000
 4016.1   50  1.4448 -5.218e-03  0.058  0.060    1.60  0.0023  0.012  0.104  0.222  0.036  1.000  0.108  0.505  0.021  0.001  0.000  0.000  0.000
 3418.8   50  1.4333 -7.632e-03  0.058  0.060    1.60  0.0040  0.023  0.104  0.227  0.048  1.000  0.146  0.509  0.029  0.002  0.000  0.000  0.000
 3444.7   50  1.4371 -6.933e-03  0.058  0.060    1.60  0.0037  0.021  0.104  0.245  0.048  1.000  0.145  0.509  0.029  0.002  0.000  0.000  0.000
 2777.0   50  1.4102 -3.083e-02  0.058  0.060    1.60  0.0173  0.096  0.104  0.163  0.072  1.000  0.215  0.520  0.044  0.003  0.000  0.000  0.000
 2320.2   50  1.4058 -9.677e-03  0.058  0.060    1.60  0.0102  0.056  0.104  0.381  0.099  1.000  0.296  0.537  0.062  0.007  0.001  0.000  0.000
 2044.2   50  1.4083 -7.645e-03  0.058  0.060    1.60  0.0118  0.065  0.104  0.515  0.121  1.000  0.362  0.553  0.077  0.010  0.002  0.000  0.000
 1778.4   50  1.4492 -1.484e-02  0.058  0.060    1.60  0.0249  0.137  0.104  0.491  0.154  1.000  0.462  0.582  0.098  0.015  0.003  0.001  0.000
 1455.2   50  1.4912 -1.973e-02  0.058  0.060    1.60  0.0511  0.282  0.104  0.578  0.212  1.000  0.638  0.646  0.145  0.031  0.007  0.001  0.000
 1270.3   50  1.4915 -1.736e-02  0.058  0.060    1.60  0.0690  0.382  0.104  0.677  0.255  1.000  0.765  0.704  0.187  0.048  0.012  0.003  0.001
  944.3   50  1.5010 -1.272e-02  0.058  0.060    1.60  0.1525  0.843  0.104  0.839  0.361  1.000  1.083  0.893  0.329  0.116  0.038  0.013  0.004
